,politicalParty,results.ballotItems.name,percent_of_contest,label,precinctsParticipating,precinctsReporting
66,Rep,State Senate - District 27,73.27251386092317,"<b>Greg Dolezal (I) (Rep)</b><br>76,783 votes",23,23
67,Dem,State Senate - District 27,26.727486139076827,"<b>Hamza Nazir (Dem)</b><br>28,008 votes",23,23
68,Dem,State Senate - District 28,100.0,"<b>Donzella James (I) (Dem)</b><br>79,712 votes",56,56
69,Rep,State Senate - District 29,65.2341763613155,"<b>Randy Robertson (I) (Rep)</b><br>62,859 votes",48,48
70,Dem,State Senate - District 29,34.7658236386845,"<b>Ellen T. Wright (Dem)</b><br>33,500 votes",48,48
71,Rep,State Senate - District 30,65.04763376074978,"<b>Timothy J. Bearden (I) (Rep)</b><br>63,158 votes",43,43
72,Dem,State Senate - District 30,34.952366239250225,"<b>Wanda Cooper (Dem)</b><br>33,937 votes",43,43
73,Rep,State Senate - District 31,100.0,"<b>Jason Anavitarte (I) (Rep)</b><br>81,415 votes",28,28
74,Rep,State Senate - District 32,100.0,"<b>Kay Kirkpatrick (I) (Rep)</b><br>82,399 votes",40,40
75,Dem,State Senate - District 33,100.0,"<b>Michael Doc Rhett (I) (Dem)</b><br>65,983 votes",35,35
76,Rep,State Senate - District 34,18.052355719387165,"<b>Andrew E. Honeycutt (Rep)</b><br>12,537 votes",47,47
77,Dem,State Senate - District 34,81.94764428061283,"<b>Kenya Wicks (Dem)</b><br>56,911 votes",47,47
78,Dem,State Senate - District 35,100.0,"<b>Jason Esteves (I) (Dem)</b><br>82,713 votes",65,65
79,Dem,State Senate - District 36,100.0,"<b>Nan Orrock (I) (Dem)</b><br>82,021 votes",84,84
80,Rep,State Senate - District 37,57.476236202020914,"<b>Ed Setzler (I) (Rep)</b><br>65,243 votes",43,43
81,Dem,State Senate - District 37,42.523763797979086,"<b>Vanessa Ella Parker (Dem)</b><br>48,270 votes",43,43
82,Dem,State Senate - District 38,100.0,"<b>RaShaun Kemp (Dem)</b><br>81,270 votes",92,92
83,Dem,State Senate - District 39,100.0,"<b>Sonya Halpern (I) (Dem)</b><br>77,219 votes",92,92
84,Rep,State Senate - District 40,37.35914042903673,"<b>Amelia K. Siamomua (Rep)</b><br>29,937 votes",41,41
85,Dem,State Senate - District 40,62.64085957096327,"<b>Sally Harrell (I) (Dem)</b><br>50,196 votes",41,41
